yearSeason,Rank,namePlayer,Age,Tm,First,PtsWon,PtsMax,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PriorAwards,YearBestWS
2015,4,Russell Westbrook,26,OKC,0,352,1300,0.271,67,34.4,28.1,7.3,8.6,2.1,0.2,0.426,0.299,0.835,10.6,0.222,0,16.4
2015,5,Anthony Davis,21,NOP,0,203,1300,0.156,68,36.1,24.4,10.2,2.2,1.5,2.9,0.535,0.083,0.805,14,0.274,0,16.4
2015,6,Chris Paul,29,LAC,0,124,1300,0.095,82,34.8,19.1,4.6,10.2,1.9,0.2,0.485,0.398,0.9,16.1,0.27,0,16.4
2015,7,LaMarcus Aldridge,29,POR,0,6,1300,0.005,71,35.4,23.4,10.2,1.7,0.7,1,0.466,0.352,0.845,8.6,0.165,0,16.4
2015,8T,Marc Gasol,30,MEM,0,3,1300,0.002,81,33.2,17.4,7.8,3.8,0.9,1.6,0.494,0.176,0.795,10.2,0.182,0,16.4
2015,8T,Blake Griffin,25,LAC,0,3,1300,0.002,67,35.2,21.9,7.6,5.3,0.9,0.5,0.502,0.4,0.728,9,0.183,0,16.4
2015,10T,Tim Duncan,38,SAS,0,1,1300,0.001,77,28.9,13.9,9.1,3,0.8,2,0.512,0.286,0.74,9.6,0.207,2,16.4
2015,10T,Kawhi Leonard,23,SAS,0,1,1300,0.001,64,31.8,16.5,7.2,2.5,2.3,0.8,0.479,0.349,0.802,8.6,0.204,0,16.4
2015,10T,Klay Thompson,24,GSW,0,1,1300,0.001,77,31.9,21.7,3.2,2.9,1.1,0.8,0.463,0.439,0.879,8.8,0.172,0,16.4
2014,1,Kevin Durant,25,OKC,119,1232,1250,0.986,81,38.5,32,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,0.295,0,19.2
2014,2,LeBron James,29,MIA,6,891,1250,0.713,77,37.7,27.1,6.9,6.3,1.6,0.3,0.567,0.379,0.75,15.9,0.264,4,19.2
2014,3,Blake Griffin,24,LAC,0,434,1250,0.347,80,35.8,24.1,9.5,3.9,1.2,0.6,0.528,0.273,0.715,12.2,0.205,0,19.2
2014,4,Joakim Noah,28,CHI,0,322,1250,0.258,80,35.3,12.6,11.3,5.4,1.2,1.5,0.475,0,0.737,11.2,0.19,0,19.2
2014,5,James Harden,24,HOU,0,85,1250,0.068,73,38,25.4,4.7,6.1,1.6,0.4,0.456,0.366,0.866,12.8,0.221,0,19.2
2014,6,Stephen Curry,25,GSW,0,66,1250,0.053,78,36.5,24,4.3,8.5,1.6,0.2,0.471,0.424,0.885,13.4,0.225,0,19.2
2014,7,Chris Paul,28,LAC,0,45,1250,0.036,62,35,19.1,4.3,10.7,2.5,0.1,0.467,0.368,0.855,12.2,0.27,0,19.2
2014,8,Al Jefferson,29,CHA,0,34,1250,0.027,73,35,21.8,10.8,2.1,0.9,1.1,0.509,0.2,0.69,7.8,0.146,0,19.2
2014,9,Paul George,23,IND,0,33,1250,0.026,80,36.2,21.7,6.8,3.5,1.9,0.3,0.424,0.364,0.864,10.8,0.178,0,19.2
2014,10,LaMarcus Aldridge,28,POR,0,26,1250,0.021,69,36.2,23.2,11.1,2.6,0.9,1,0.458,0.2,0.822,7.5,0.144,0,19.2
2014,11,Kevin Love,25,MIN,0,25,1250,0.02,77,36.3,26.1,12.5,4.4,0.8,0.5,0.457,0.376,0.821,14.3,0.245,0,19.2
2014,12T,Tim Duncan,37,SAS,0,21,1250,0.017,74,29.2,15.1,9.7,3,0.6,1.9,0.49,0,0.731,7.4,0.164,2,19.2
2014,12T,Tony Parker,31,SAS,0,21,1250,0.017,68,29.4,16.7,2.3,5.7,0.5,0.1,0.499,0.373,0.811,5.9,0.141,0,19.2
